,track_name,artist_name,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
,Yorgunum Anla,Pınar Ayhan,Duyuyor musun,2012-07-31,0.596,0.692,7,-5.993,0,0.0364,0.028,0.000204,0.292,0.459,158.167,audio_features,5GFUT8pfrK4umc8KA6cFoL,spotify:track:5GFUT8pfrK4umc8KA6cFoL,https://api.spotify.com/v1/tracks/5GFUT8pfrK4umc8KA6cFoL,https://api.spotify.com/v1/audio-analysis/5GFUT8pfrK4umc8KA6cFoL,232427,4
,My Heart Goes Boom,Charmed,Charmed,2000-01-01,0.656,0.907,11,-3.985,1,0.0299,0.319,0,0.0849,0.926,105.0,audio_features,6GViWczPtH2ky3RBYycDhI,spotify:track:6GViWczPtH2ky3RBYycDhI,https://api.spotify.com/v1/tracks/6GViWczPtH2ky3RBYycDhI,https://api.spotify.com/v1/audio-analysis/6GViWczPtH2ky3RBYycDhI,183280,4
,100% Te Ljubam,XXL,100% Te Ljubam,2000,0.744,0.753,7,-9.797,1,0.0562,0.0376,3.59e-05,0.349,0.839,110.048,audio_features,6irXADvLUwmS13wnfHdLpO,spotify:track:6irXADvLUwmS13wnfHdLpO,https://api.spotify.com/v1/tracks/6irXADvLUwmS13wnfHdLpO,https://api.spotify.com/v1/audio-analysis/6irXADvLUwmS13wnfHdLpO,177046,4
,Colgado De Un Sueño,Serafin Zubiri,Colgado De Un Sueño,2008-09-09,0.577,0.607,7,-6.818,1,0.0265,0.338,0,0.168,0.408,114.717,audio_features,7jajK2dubhCHqQJqdaQZlh,spotify:track:7jajK2dubhCHqQJqdaQZlh,https://api.spotify.com/v1/tracks/7jajK2dubhCHqQJqdaQZlh,https://api.spotify.com/v1/audio-analysis/7jajK2dubhCHqQJqdaQZlh,188067,4
,שמייח,Ping Pong,בין מוסר לאופנה,2000-03-01,0.584,0.906,0,-5.099,1,0.0338,0.000752,0.124,0.499,0.57,134.499,audio_features,32AdSaHxknQFhFRLi5Z728,spotify:track:32AdSaHxknQFhFRLi5Z728,https://api.spotify.com/v1/tracks/32AdSaHxknQFhFRLi5Z728,https://api.spotify.com/v1/audio-analysis/32AdSaHxknQFhFRLi5Z728,184040,4
,Envie de vivre,Nathalie Sorce,Envie de vivre,2000-05-12,0.59,0.84,8,-7.056,1,0.123,0.726,0,0.203,0.635,114.75,audio_features,2XHnopWoeW7fcFzGb776Ct,spotify:track:2XHnopWoeW7fcFzGb776Ct,https://api.spotify.com/v1/tracks/2XHnopWoeW7fcFzGb776Ct,https://api.spotify.com/v1/audio-analysis/2XHnopWoeW7fcFzGb776Ct,179324,4
,Never Ever Let You Go,Rollo & King,Det Nye Kuld,2001,0.727,0.859,10,-6.678,1,0.0508,0.0526,0,0.0714,0.554,108.04,audio_features,7mx6IZujrnfHLBmqcIOxIe,spotify:track:7mx6IZujrnfHLBmqcIOxIe,https://api.spotify.com/v1/tracks/7mx6IZujrnfHLBmqcIOxIe,https://api.spotify.com/v1/audio-analysis/7mx6IZujrnfHLBmqcIOxIe,181333,4
,(I Would) Die for You,Antique,Die For You,2001-06-11,0.572,0.95,11,-3.784,0,0.042,0.059,0.000225,0.195,0.798,124.017,audio_features,2byZAXWOqDx3w8suK3btui,spotify:track:2byZAXWOqDx3w8suK3btui,https://api.spotify.com/v1/tracks/2byZAXWOqDx3w8suK3btui,https://api.spotify.com/v1/audio-analysis/2byZAXWOqDx3w8suK3btui,177213,4
,Je n'ai que mon âme,Natasha St-Pier,Tu trouveras... 10 Ans De Succès,2009-11-27,0.358,0.471,0,-7.411,1,0.0275,0.655,0,0.173,0.162,94.92,audio_features,10p0nLnAzyyVr4YWxaSerl,spotify:track:10p0nLnAzyyVr4YWxaSerl,https://api.spotify.com/v1/tracks/10p0nLnAzyyVr4YWxaSerl,https://api.spotify.com/v1/audio-analysis/10p0nLnAzyyVr4YWxaSerl,169973,3
,Listen to Your Heartbeat,Friends,Best Of Friends,2006-12-01,0.601,0.864,1,-2.635,0,0.0383,0.0608,0,0.243,0.561,136.961,audio_features,43xnj7HZ8t5dGqbOC3WzVn,spotify:track:43xnj7HZ8t5dGqbOC3WzVn,https://api.spotify.com/v1/tracks/43xnj7HZ8t5dGqbOC3WzVn,https://api.spotify.com/v1/audio-analysis/43xnj7HZ8t5dGqbOC3WzVn,187093,4
,Dile Que La Quiero,David Civera,Dile Que La Quiero,2001-01-01,0.692,0.882,4,-8.135,0,0.0583,0.143,6.94e-06,0.0538,0.773,104.948,audio_features,7j8Wo5QDosh9vMgUGEC32q,spotify:track:7j8Wo5QDosh9vMgUGEC32q,https://api.spotify.com/v1/tracks/7j8Wo5QDosh9vMgUGEC32q,https://api.spotify.com/v1/audio-analysis/7j8Wo5QDosh9vMgUGEC32q,186027,4
,"Ne, ni res",Nuša Derenda,Na stiri oci,2002,0.591,0.963,11,-4.18,0,0.07,0.0142,0,0.549,0.437,129.976,audio_features,3GVIRCfB6HmlXXDkklew5G,spotify:track:3GVIRCfB6HmlXXDkklew5G,https://api.spotify.com/v1/tracks/3GVIRCfB6HmlXXDkklew5G,https://api.spotify.com/v1/audio-analysis/3GVIRCfB6HmlXXDkklew5G,179520,4
,Strings Of My Heart,Vanna,The Platinum Collection,2010-01-01,0.538,0.773,5,-7.029,1,0.143,0.302,0.00208,0.134,0.328,120.053,audio_features,44MRiCECrwmTehbleV831v,spotify:track:44MRiCECrwmTehbleV831v,https://api.spotify.com/v1/tracks/44MRiCECrwmTehbleV831v,https://api.spotify.com/v1/audio-analysis/44MRiCECrwmTehbleV831v,177880,4
,Sevgiliye Son,Sedat Yüce,Eurovision 2001 Şarkı Yarışması,2001-01-17,0.304,0.424,0,-7.671,1,0.0331,0.288,1.82e-05,0.394,0.181,144.366,audio_features,2qQSF9HQkIKFOPsr2CpYfa,spotify:track:2qQSF9HQkIKFOPsr2CpYfa,https://api.spotify.com/v1/tracks/2qQSF9HQkIKFOPsr2CpYfa,https://api.spotify.com/v1/audio-analysis/2qQSF9HQkIKFOPsr2CpYfa,186178,4
,Обещания,Mumiy Troll,Меамуры,2002-09-01,0.645,0.808,9,-9.063,0,0.0311,8.35e-05,0.253,0.385,0.719,122.106,audio_features,4iNwluHTu9KssWcO1bFZMW,spotify:track:4iNwluHTu9KssWcO1bFZMW,https://api.spotify.com/v1/tracks/4iNwluHTu9KssWcO1bFZMW,https://api.spotify.com/v1/audio-analysis/4iNwluHTu9KssWcO1bFZMW,240813,4
,You Got Style,Skamp,"""Skempinlige"" (2001)",2001-01-01,0.762,0.727,10,-7.329,0,0.065,0.11,0,0.141,0.873,120.002,audio_features,02AK9DE6ttEbcFxMOim4YZ,spotify:track:02AK9DE6ttEbcFxMOim4YZ,https://api.spotify.com/v1/tracks/02AK9DE6ttEbcFxMOim4YZ,https://api.spotify.com/v1/audio-analysis/02AK9DE6ttEbcFxMOim4YZ,198800,4
,Hano,Nino Pršeš,Rum-Pup,2004-01-01,0.573,0.62,7,-7.23,1,0.0623,0.249,0,0.0528,0.475,173.937,audio_features,1nYgrQQpJmeDLukAKH2Por,spotify:track:1nYgrQQpJmeDLukAKH2Por,https://api.spotify.com/v1/tracks/1nYgrQQpJmeDLukAKH2Por,https://api.spotify.com/v1/audio-analysis/1nYgrQQpJmeDLukAKH2Por,186387,4
,No Dream Impossible,Lindsay Dracass,No Dream Impossible,2001,0.552,0.887,2,-4.603,0,0.0502,0.04,1.26e-06,0.114,0.337,128.027,audio_features,4C1e3sDWIeJQCLN7bVWV9Q,spotify:track:4C1e3sDWIeJQCLN7bVWV9Q,https://api.spotify.com/v1/tracks/4C1e3sDWIeJQCLN7bVWV9Q,https://api.spotify.com/v1/audio-analysis/4C1e3sDWIeJQCLN7bVWV9Q,184477,4
,אין דבר,Tal Sondak,אין דבר,2001-01-01,0.724,0.642,2,-8.29,0,0.0413,0.121,0,0.0598,0.604,100.007,audio_features,5GKF3NIr79yyyzpXvpgDB7,spotify:track:5GKF3NIr79yyyzpXvpgDB7,https://api.spotify.com/v1/tracks/5GKF3NIr79yyyzpXvpgDB7,https://api.spotify.com/v1/audio-analysis/5GKF3NIr79yyyzpXvpgDB7,184999,4
,Só Sei Ser Feliz Assim,Marco Quelhas,Fascício Azul,2001,0.612,0.82,0,-5.185,1,0.0595,0.255,0,0.0884,0.807,90.045,audio_features,7yfglLcSabGHzfcpB580q0,spotify:track:7yfglLcSabGHzfcpB580q0,https://api.spotify.com/v1/tracks/7yfglLcSabGHzfcpB580q0,https://api.spotify.com/v1/audio-analysis/7yfglLcSabGHzfcpB580q0,183856,4
,Out On My Own,Michel-le,Grootste Hollandse Songfestival Hits Allertijden,2013-04-19,0.504,0.273,9,-9.244,1,0.0294,0.53,0,0.121,0.115,119.969,audio_features,7LxcIVB4GK5J7qBR7uJRXj,spotify:track:7LxcIVB4GK5J7qBR7uJRXj,https://api.spotify.com/v1/tracks/7LxcIVB4GK5J7qBR7uJRXj,https://api.spotify.com/v1/audio-analysis/7LxcIVB4GK5J7qBR7uJRXj,205227,4
,Too Much - Original,Arnis Mednis,Too Much,2014-07-17,0.712,0.949,9,-4.987,1,0.19,0.502,0,0.256,0.81,153.017,audio_features,3XJ8YC4wks6m14Jy2p6QNQ,spotify:track:3XJ8YC4wks6m14Jy2p6QNQ,https://api.spotify.com/v1/tracks/3XJ8YC4wks6m14Jy2p6QNQ,https://api.spotify.com/v1/audio-analysis/3XJ8YC4wks6m14Jy2p6QNQ,180533,4
,On My Own,Haldor Lægreid,On My Own,2001,0.484,0.477,9,-6.953,1,0.0284,0.626,0,0.0987,0.107,125.789,audio_features,2ISmtYqAfrIhZIEWWImTjU,spotify:track:2ISmtYqAfrIhZIEWWImTjU,https://api.spotify.com/v1/tracks/2ISmtYqAfrIhZIEWWImTjU,https://api.spotify.com/v1/audio-analysis/2ISmtYqAfrIhZIEWWImTjU,184147,4
,7th Wonder,Ira Losco,7th Wonder,2005-05-23,0.726,0.759,2,-3.677,1,0.0279,0.411,0,0.135,0.453,104.991,audio_features,6rF1ZmDKZKhEv49l2OrYCl,spotify:track:6rF1ZmDKZKhEv49l2OrYCl,https://api.spotify.com/v1/tracks/6rF1ZmDKZKhEv49l2OrYCl,https://api.spotify.com/v1/audio-analysis/6rF1ZmDKZKhEv49l2OrYCl,181133,4
,Come Back,Jessica Garlick,Come Back,2002-05-13,0.591,0.44,5,-7.658,1,0.0305,0.0622,0,0.249,0.342,124.117,audio_features,37add9XFpIHs6kJT0tCjdF,spotify:track:37add9XFpIHs6kJT0tCjdF,https://api.spotify.com/v1/tracks/37add9XFpIHs6kJT0tCjdF,https://api.spotify.com/v1/audio-analysis/37add9XFpIHs6kJT0tCjdF,175293,3
,Runaway - Bonus Track,Anna Sahlene,It's Been a While,2003-01-01,0.695,0.878,6,-4.378,1,0.0307,0.0552,1.53e-05,0.329,0.97,128.013,audio_features,7uSeUTnMWH7CgEyl2rNtMC,spotify:track:7uSeUTnMWH7CgEyl2rNtMC,https://api.spotify.com/v1/tracks/7uSeUTnMWH7CgEyl2rNtMC,https://api.spotify.com/v1/audio-analysis/7uSeUTnMWH7CgEyl2rNtMC,172667,4
,Il faut du temps,Sandrine Francois,Sandrine Francois,2002-04-29,0.518,0.525,7,-6.849,1,0.0363,0.624,2.54e-05,0.0439,0.411,132.111,audio_features,28DzBSQCxapGNn6bDqrgms,spotify:track:28DzBSQCxapGNn6bDqrgms,https://api.spotify.com/v1/tracks/28DzBSQCxapGNn6bDqrgms,https://api.spotify.com/v1/audio-analysis/28DzBSQCxapGNn6bDqrgms,237000,4
,Gimme,One,Gimme,2002,0.626,0.956,0,-5.267,0,0.0912,0.028,0,0.293,0.829,136.055,audio_features,5LdWdlyG5fEfSPORr4Y5Ai,spotify:track:5LdWdlyG5fEfSPORr4Y5Ai,https://api.spotify.com/v1/tracks/5LdWdlyG5fEfSPORr4Y5Ai,https://api.spotify.com/v1/audio-analysis/5LdWdlyG5fEfSPORr4Y5Ai,184403,4
,Europe's Living A Celebration - Versión Gala Eurovisión,Rosa López,Las 100 Mejores Canciones De La Historia De O.T (Operación Triunfo),2006-06-15,0.736,0.978,6,-2.578,0,0.0433,0.134,0,0.591,0.702,134.976,audio_features,7GrAOZRMBhUPN5PdbJZVO9,spotify:track:7GrAOZRMBhUPN5PdbJZVO9,https://api.spotify.com/v1/tracks/7GrAOZRMBhUPN5PdbJZVO9,https://api.spotify.com/v1/audio-analysis/7GrAOZRMBhUPN5PdbJZVO9,172347,4
,Never Let It Go,Afro-Dite,Never Let It Go,2002-01-01,0.71,0.93,3,-5.537,0,0.0487,0.259,0,0.356,0.768,137.966,audio_features,28ihA2Fp5zRmcmi8hpfWiC,spotify:track:28ihA2Fp5zRmcmi8hpfWiC,https://api.spotify.com/v1/tracks/28ihA2Fp5zRmcmi8hpfWiC,https://api.spotify.com/v1/audio-analysis/28ihA2Fp5zRmcmi8hpfWiC,182307,4
,Everything I Want,Vesna Pisarovic,Kao Da Je Vrijeme...,2002-01-01,0.764,0.579,5,-7.407,1,0.0338,0.108,0,0.326,0.531,98.042,audio_features,0knrm9iqhUjf9wT0rZCfFl,spotify:track:0knrm9iqhUjf9wT0rZCfFl,https://api.spotify.com/v1/tracks/0knrm9iqhUjf9wT0rZCfFl,https://api.spotify.com/v1/audio-analysis/0knrm9iqhUjf9wT0rZCfFl,186307,4
,Nadlik Beyachad Ner,Sarit Hadad,Yalda Shel Ahava,2002-11-02,0.513,0.542,0,-5.892,1,0.0296,0.49,0,0.162,0.276,141.56,audio_features,1uHoyaYpG76xbyknwaTj6M,spotify:track:1uHoyaYpG76xbyknwaTj6M,https://api.spotify.com/v1/tracks/1uHoyaYpG76xbyknwaTj6M,https://api.spotify.com/v1/audio-analysis/1uHoyaYpG76xbyknwaTj6M,202560,4
,Na jastuku za dvoje,Maja Tatić,The Best Of,2022-09-06,0.556,0.908,5,-2.437,1,0.0457,0.11,1.81e-05,0.475,0.898,157.981,audio_features,75N9my1BhLCbla42dfvlAf,spotify:track:75N9my1BhLCbla42dfvlAf,https://api.spotify.com/v1/tracks/75N9my1BhLCbla42dfvlAf,https://api.spotify.com/v1/audio-analysis/75N9my1BhLCbla42dfvlAf,180584,4
,Sister,"Sergio, The Ladies",Ik Ben Sergio,2020-05-29,0.637,0.915,0,-6.818,1,0.0407,0.0194,0,0.044,0.856,132.999,audio_features,2JekX7Oj0dN6QIMlWHh6qm,spotify:track:2JekX7Oj0dN6QIMlWHh6qm,https://api.spotify.com/v1/tracks/2JekX7Oj0dN6QIMlWHh6qm,https://api.spotify.com/v1/audio-analysis/2JekX7Oj0dN6QIMlWHh6qm,163387,4
,Samo Ljubezen,Sestre,Samo Ljubezen,2002-01-01,0.574,0.874,2,-6.507,1,0.0416,0.00204,0,0.309,0.76,140.045,audio_features,5Wuo6QOB41oIC4qVVteZ4O,spotify:track:5Wuo6QOB41oIC4qVVteZ4O,https://api.spotify.com/v1/tracks/5Wuo6QOB41oIC4qVVteZ4O,https://api.spotify.com/v1/audio-analysis/5Wuo6QOB41oIC4qVVteZ4O,182067,3
,Leylaklar Soldu Kalbinde,Grup Safir,Eurovision 2002 Şarkı Yarışması,2002-01-23,0.717,0.75,7,-10.573,0,0.235,0.0794,0,0.289,0.597,105.043,audio_features,0EluPOEgrJ4Wk79TbUDgD1,spotify:track:0EluPOEgrJ4Wk79TbUDgD1,https://api.spotify.com/v1/tracks/0EluPOEgrJ4Wk79TbUDgD1,https://api.spotify.com/v1/audio-analysis/0EluPOEgrJ4Wk79TbUDgD1,184320,4
,S.A.G.A.P.O.,Mihalis Rakintzis,S.A.G.A.P.O.,2002-04-05,0.73,0.808,0,-6.938,0,0.0286,0.217,0.000905,0.149,0.814,99.969,audio_features,45YHqT20aCmZaXbylQ1a0z,spotify:track:45YHqT20aCmZaXbylQ1a0z,https://api.spotify.com/v1/tracks/45YHqT20aCmZaXbylQ1a0z,https://api.spotify.com/v1/audio-analysis/45YHqT20aCmZaXbylQ1a0z,183533,4
,Dans le jardin de mon âme,Francine Jordi,Im Garten meiner Seele,2002-01-01,0.305,0.611,0,-4.04,1,0.0314,0.612,0,0.311,0.27,135.078,audio_features,5rl1BenQ0OzGwlpeeELANt,spotify:track:5rl1BenQ0OzGwlpeeELANt,https://api.spotify.com/v1/tracks/5rl1BenQ0OzGwlpeeELANt,https://api.spotify.com/v1/audio-analysis/5rl1BenQ0OzGwlpeeELANt,184000,4
,Every Way That I Can,Sertab Erener,Every Way That I Can,2003-05-15,0.648,0.837,0,-3.972,1,0.145,0.186,4.12e-06,0.0628,0.745,190.032,audio_features,5I8ENb7zzrbYLwhGESY9CF,spotify:track:5I8ENb7zzrbYLwhGESY9CF,https://api.spotify.com/v1/tracks/5I8ENb7zzrbYLwhGESY9CF,https://api.spotify.com/v1/audio-analysis/5I8ENb7zzrbYLwhGESY9CF,156933,4
,Sanomi,Urban Trad,The Best Of,2010-01-01,0.555,0.797,7,-6.112,0,0.0303,0.188,0,0.137,0.638,85.003,audio_features,788II2WAQ8lOuW1CSQ9oHp,spotify:track:788II2WAQ8lOuW1CSQ9oHp,https://api.spotify.com/v1/tracks/788II2WAQ8lOuW1CSQ9oHp,https://api.spotify.com/v1/audio-analysis/788II2WAQ8lOuW1CSQ9oHp,247507,4
,I'm Not Afraid To Move On,Jostein Hasselgard,Norsk Melodi Grand Prix gjennom 50 år,2010-01-01,0.537,0.456,0,-6.222,1,0.0242,0.573,0,0.0933,0.301,75.836,audio_features,11q02BZ4h5gBiLBpUSktFp,spotify:track:11q02BZ4h5gBiLBpUSktFp,https://api.spotify.com/v1/tracks/11q02BZ4h5gBiLBpUSktFp,https://api.spotify.com/v1/audio-analysis/11q02BZ4h5gBiLBpUSktFp,182960,4
,Och bara med dig är jag hel (I'm Not Afraid to Move On),Mathias Holmgren,Vägen hem,2006-09-27,0.574,0.467,4,-7.04,0,0.0254,0.684,0,0.214,0.151,75.971,audio_features,5zgvi66er2ZXeflUAIXXZK,spotify:track:5zgvi66er2ZXeflUAIXXZK,https://api.spotify.com/v1/tracks/5zgvi66er2ZXeflUAIXXZK,https://api.spotify.com/v1/audio-analysis/5zgvi66er2ZXeflUAIXXZK,217213,4
,Give Me Your Love,Fame,Give Me Your Love,2003-01-01,0.57,0.91,2,-4.837,1,0.0512,0.0201,0,0.0955,0.578,132.032,audio_features,2B60fzEh2F9Ds6xFtV8LWd,spotify:track:2B60fzEh2F9Ds6xFtV8LWd,https://api.spotify.com/v1/tracks/2B60fzEh2F9Ds6xFtV8LWd,https://api.spotify.com/v1/audio-analysis/2B60fzEh2F9Ds6xFtV8LWd,182320,4
,Weil der Mensch zählt,Alf Poier,Weil der Mensch zählt,2017-02-24,0.798,0.496,4,-9.867,1,0.337,0.0208,0.000262,0.0651,0.881,172.645,audio_features,4icOtq9jmgpmURhMRv0ZRN,spotify:track:4icOtq9jmgpmURhMRv0ZRN,https://api.spotify.com/v1/tracks/4icOtq9jmgpmURhMRv0ZRN,https://api.spotify.com/v1/audio-analysis/4icOtq9jmgpmURhMRv0ZRN,180400,4
,Keine Grenzen / Zadnych Granic,Ich Troje,The Best Of Ich Troje Wydanie Specjalne (Vol. 2),2003-01-01,0.45,0.394,0,-7.422,1,0.0278,0.0908,0,0.167,0.225,137.487,audio_features,3SPlqqbR5783uURm6KbgJe,spotify:track:3SPlqqbR5783uURm6KbgJe,https://api.spotify.com/v1/tracks/3SPlqqbR5783uURm6KbgJe,https://api.spotify.com/v1/audio-analysis/3SPlqqbR5783uURm6KbgJe,185533,4
,Open your heart,Birgitta Haukdal,Open your heart,2003,0.509,0.855,4,-3.703,1,0.0407,0.0353,0,0.112,0.555,105.045,audio_features,37nGo7UKGrxVpIuViV9rBK,spotify:track:37nGo7UKGrxVpIuViV9rBK,https://api.spotify.com/v1/tracks/37nGo7UKGrxVpIuViV9rBK,https://api.spotify.com/v1/audio-analysis/37nGo7UKGrxVpIuViV9rBK,182040,4
,Dime,Beth,Otra Realidad,2003-01-01,0.703,0.754,11,-7.536,0,0.04,0.00737,4.54e-05,0.347,0.602,130.009,audio_features,7Cf4bpnB164MgYLCPWd88h,spotify:track:7Cf4bpnB164MgYLCPWd88h,https://api.spotify.com/v1/tracks/7Cf4bpnB164MgYLCPWd88h,https://api.spotify.com/v1/audio-analysis/7Cf4bpnB164MgYLCPWd88h,180680,4
,Don't Break My Heart,Nicola,De Ma Vei Chema / If You'll Call Me,2004,0.546,0.894,4,-3.727,0,0.059,0.529,0,0.338,0.76,167.984,audio_features,7vN1yJFrOPTQ6rNvxyQnou,spotify:track:7vN1yJFrOPTQ6rNvxyQnou,https://api.spotify.com/v1/tracks/7vN1yJFrOPTQ6rNvxyQnou,https://api.spotify.com/v1/audio-analysis/7vN1yJFrOPTQ6rNvxyQnou,185973,4
,We've Got the World,Mickey Harte,Sometimes Right Sometimes Wrong,2003-07-24,0.596,0.837,2,-5.923,1,0.0433,0.115,0,0.171,0.663,103.945,audio_features,0ZO6ZOgVzJyZbmauzo5HEK,spotify:track:0ZO6ZOgVzJyZbmauzo5HEK,https://api.spotify.com/v1/tracks/0ZO6ZOgVzJyZbmauzo5HEK,https://api.spotify.com/v1/audio-analysis/0ZO6ZOgVzJyZbmauzo5HEK,205173,4
,Let's Get Happy,Lou Hoffner,Let's Get Happy,2003,0.386,0.893,10,-4.066,0,0.11,0.0164,0,0.231,0.45,145.25,audio_features,2OVn1hxlocoVpph31ABHPj,spotify:track:2OVn1hxlocoVpph31ABHPj,https://api.spotify.com/v1/tracks/2OVn1hxlocoVpph31ABHPj,https://api.spotify.com/v1/audio-analysis/2OVn1hxlocoVpph31ABHPj,181800,4
,One More Night,Esther Hart,One More Night,2021-04-27,0.641,0.887,1,-5.479,1,0.07,0.023,0,0.32,0.56,116.035,audio_features,06AT53Zqpg2uQG66ihdLrx,spotify:track:06AT53Zqpg2uQG66ihdLrx,https://api.spotify.com/v1/tracks/06AT53Zqpg2uQG66ihdLrx,https://api.spotify.com/v1/audio-analysis/06AT53Zqpg2uQG66ihdLrx,180827,4
,Vise Nisam Tvoja - Dora 2003,Claudia,Cista Kao Suza,2004,0.81,0.78,3,-3.543,0,0.044,0.491,0,0.0464,0.842,94.999,audio_features,1WLE7xocaEz5l12K4NXJ7A,spotify:track:1WLE7xocaEz5l12K4NXJ7A,https://api.spotify.com/v1/tracks/1WLE7xocaEz5l12K4NXJ7A,https://api.spotify.com/v1/audio-analysis/1WLE7xocaEz5l12K4NXJ7A,172387,4
,Never Let You Go - Original,Mando,Never Let You Go,2003-07-30,0.55,0.77,3,-6.036,0,0.0415,0.53,0.000562,0.324,0.577,170.063,audio_features,4aC42ieFQHlvmaFdAFQLtG,spotify:track:4aC42ieFQHlvmaFdAFQLtG,https://api.spotify.com/v1/tracks/4aC42ieFQHlvmaFdAFQLtG,https://api.spotify.com/v1/audio-analysis/4aC42ieFQHlvmaFdAFQLtG,259533,4
